id,ed,inc,pop,cases
0,27.7,59338.0,55869.0,789
3,11.5,46064.0,22394.0,255
4,12.6,50412.0,57826.0,440
5,13.3,29267.0,10101.0,393
6,16.1,37365.0,19448.0,672
8,13.2,39917.0,33254.0,742
10,14.2,47547.0,44428.0,418
13,10.2,39201.0,13235.0,98
14,13.7,46495.0,14910.0,67
15,23.4,55122.0,52342.0,503
16,18.7,49055.0,55241.0,680
17,10.7,32613.0,12067.0,273
18,11.6,42423.0,10663.0,69
19,14.9,40203.0,37049.0,523
20,15.6,39057.0,13772.0,150
21,13.7,45796.0,83768.0,772
22,17.0,45309.0,49172.0,493
23,15.1,34035.0,37196.0,1103
24,12.7,39491.0,71513.0,1227
26,12.7,38418.0,36633.0,603
27,17.7,44903.0,102268.0,1259
28,12.9,39254.0,16302.0,115
29,12.9,39388.0,31362.0,1001
30,11.1,37823.0,26271.0,118
31,10.1,28524.0,8111.0,212
32,14.1,34724.0,14651.0,392
36,32.4,55013.0,658573.0,8201
37,12.5,40936.0,13805.0,115
39,11.7,43909.0,32924.0,176
40,34.1,48937.0,164542.0,1980
41,25.5,64863.0,98915.0,796
42,14.1,33973.0,9726.0,508
44,41.7,63755.0,372909.0,3190
46,13.1,37887.0,29709.0,389
47,19.2,46233.0,96774.0,2287
48,22.9,43598.0,413210.0,5740
49,14.1,39556.0,20733.0,316
54,23.6,37259.0,33114.0,530
56,16.5,39104.0,57961.0,868
57,16.5,57284.0,89512.0,766
58,42.1,75663.0,217702.0,2110
59,21.8,27859.0,12427.0,313
60,14.3,41630.0,79978.0,580
61,18.3,42205.0,40367.0,693
63,11.6,45434.0,63521.0,1220
64,11.1,44424.0,16326.0,194
65,12.5,25385.0,10373.0,340
66,13.5,41156.0,23629.0,339
68,23.0,49164.0,125922.0,1186
71,15.3,50157.0,38837.0,240
72,11.9,65818.0,9498.0,38
77,31.9,53395.0,1047279.0,13058
78,19.0,58848.0,462789.0,6420
79,21.0,40545.0,46498.0,2270
81,14.8,44116.0,213787.0,9043
82,15.5,43887.0,17486.0,98
83,13.2,41127.0,19657.0,117
84,18.3,39686.0,41932.0,34
85,32.4,68978.0,279141.0,3661
87,15.2,37729.0,10763.0,87
89,20.4,45023.0,28380.0,251
90,14.7,31787.0,10118.0,245
93,14.9,44902.0,24919.0,148
95,20.6,40909.0,23457.0,119
96,16.0,44565.0,20846.0,104
97,26.3,45615.0,110332.0,650
98,15.3,47363.0,63257.0,310
99,18.0,42606.0,47955.0,906
100,15.4,41214.0,16419.0,107
101,13.7,37259.0,7009.0,20
102,12.4,36132.0,11361.0,89
103,20.6,42494.0,18219.0,102
105,11.8,43696.0,17715.0,35
106,11.8,35630.0,12477.0,18
108,18.3,52050.0,18265.0,69
109,15.9,46512.0,45325.0,158
110,15.1,38682.0,21532.0,101
111,14.7,47205.0,33771.0,1310
114,13.8,37828.0,13629.0,26
117,15.8,39381.0,26578.0,455
119,15.0,40308.0,16406.0,123
122,11.4,43559.0,12259.0,55
123,12.1,41471.0,21466.0,97
124,20.3,56651.0,73309.0,234
125,12.5,42674.0,16576.0,226
128,12.8,36718.0,40651.0,375
129,10.5,32922.0,6701.0,29
130,10.8,38318.0,8986.0,12
131,15.4,37626.0,8252.0,114
132,16.2,36078.0,7753.0,13
133,16.0,37624.0,23382.0,38
135,14.0,29945.0,17782.0,193
136,14.7,41534.0,10718.0,27
138,13.3,39048.0,19964.0,98
141,34.1,49957.0,391911.0,3425
142,14.0,37799.0,17958.0,87
143,10.6,33257.0,24994.0,931
144,26.1,63677.0,122437.0,540
145,9.1,35826.0,10281.0,18
146,12.5,31659.0,7881.0,18
147,19.7,46843.0,127827.0,1025
148,11.5,44100.0,17007.0,829
149,11.3,36032.0,17442.0,75
151,20.8,45335.0,38682.0,287
152,14.1,40486.0,16545.0,37
153,32.8,50893.0,239187.0,4860
155,12.0,34306.0,6320.0,16
158,30.0,55384.0,1129.0,2
160,26.5,50945.0,219186.0,522
161,18.7,62984.0,45905.0,82
162,15.4,57249.0,21547.0,147
163,41.7,101463.0,1153526.0,5378
164,14.3,48518.0,27812.0,62
166,20.7,52318.0,999101.0,9481
167,13.9,47365.0,28393.0,190
168,29.8,49471.0,135558.0,184
169,14.5,46633.0,181215.0,8397
171,16.1,51586.0,900202.0,7435
172,13.5,58255.0,152940.0,3172
173,15.8,45086.0,64386.0,140
174,12.0,57705.0,30573.0,488
175,31.8,67986.0,10039107.0,148000
177,58.8,122933.0,258826.0,3546
179,24.7,51386.0,86749.0,177
180,14.0,56169.0,277680.0,2313
181,15.9,45227.0,8841.0,1
184,34.9,85624.0,137744.0,583
185,36.6,66681.0,99755.0,204
187,38.6,89175.0,398329.0,1235
188,23.5,55079.0,18807.0,16
189,21.8,66793.0,2470546.0,28904
190,30.4,69475.0,1552058.0,6510
193,38.1,78777.0,3338330.0,21920
195,18.4,63567.0,762148.0,7819
196,34.6,70626.0,283111.0,1213
201,22.2,53908.0,180080.0,220
202,18.7,52308.0,3005.0,1
203,22.5,47560.0,43539.0,44
205,34.9,81002.0,494336.0,2027
206,16.9,59616.0,550660.0,6077
207,17.7,57879.0,96971.0,471
209,19.7,40680.0,12285.0,3
210,14.3,48763.0,466195.0,6683
211,20.0,56500.0,54478.0,84
213,41.6,67804.0,220500.0,1062
214,16.7,47504.0,78668.0,236
216,26.1,42897.0,16233.0,206
217,42.2,76665.0,656590.0,5854
219,22.1,38294.0,3581.0,14
223,33.5,56168.0,20356.0,124
224,20.0,54504.0,1831.0,5
225,46.5,74019.0,9700.0,23
226,20.2,38777.0,8205.0,19
227,19.1,31557.0,3887.0,22
228,9.6,35880.0,6061.0,71
230,21.2,46786.0,31162.0,86
233,57.9,120670.0,351154.0,1263
235,35.9,98247.0,26729.0,67
236,37.9,67923.0,720403.0,3463
237,18.2,47885.0,47839.0,68
238,30.0,74421.0,60061.0,469
240,37.8,69214.0,15734.0,32
241,55.3,61268.0,17462.0,193
242,43.9,62149.0,820.0,3
243,21.4,38242.0,6897.0,5
247,18.9,48342.0,7097.0,36
248,34.0,51802.0,8127.0,57
250,46.3,71306.0,356899.0,1009
254,27.4,51132.0,154210.0,163
255,39.9,60210.0,769.0,17
258,23.9,52576.0,42758.0,225
259,17.6,55387.0,29068.0,663
260,17.7,40064.0,18278.0,24
263,25.5,52367.0,4265.0,16
264,63.1,89034.0,17767.0,144
265,17.4,42455.0,12172.0,42
267,20.2,63411.0,6324.0,6
268,23.7,44171.0,11267.0,82
273,20.8,40009.0,2248.0,4
274,51.0,80078.0,31011.0,298
279,47.4,91183.0,943332.0,17069
280,37.8,73037.0,891720.0,12046
282,41.5,88709.0,162436.0,1357
286,24.1,65182.0,116782.0,651
287,23.6,54980.0,180786.0,1978
288,35.9,69562.0,558753.0,5981
289,26.5,59821.0,234225.0,5244
290,42.5,51026.0,269043.0,2465
291,13.4,52804.0,29210.0,215
292,22.8,51777.0,174705.0,1737
293,10.6,45075.0,28201.0,180
294,29.3,57612.0,601942.0,3945
295,31.9,57200.0,1952778.0,36913
297,23.2,52724.0,188910.0,1342
299,24.1,62835.0,219252.0,1900
300,36.2,70649.0,384902.0,7314
301,15.6,46195.0,71686.0,1150
303,9.4,37148.0,16826.0,155
304,29.2,55733.0,957755.0,15641
305,26.4,50644.0,318316.0,5346
306,24.4,58975.0,115081.0,600
307,17.1,40297.0,12125.0,50
308,16.7,42259.0,45660.0,735
309,14.2,42186.0,18582.0,191
312,9.3,36299.0,14428.0,498
313,10.4,39169.0,26937.0,677
315,17.5,45884.0,193920.0,1077
316,17.0,39994.0,106221.0,687
317,32.7,58361.0,1471968.0,22502
318,10.3,38040.0,19617.0,275
322,15.8,42689.0,8422.0,67
323,22.7,52447.0,367118.0,3139
324,27.8,56343.0,770577.0,12042
325,45.7,51046.0,293582.0,2816
326,12.6,39037.0,41503.0,325
329,29.3,59587.0,403253.0,6133
332,28.8,52043.0,2716940.0,77866
333,33.3,67094.0,74228.0,768
334,28.2,66898.0,88625.0,660
335,30.6,62779.0,210738.0,1697
336,11.4,42258.0,42168.0,610
338,20.5,50473.0,375751.0,5556
339,35.7,61735.0,1496770.0,24359
340,23.4,53788.0,553947.0,4654
341,31.0,52226.0,974996.0,12714
344,43.7,81925.0,264672.0,2270
345,20.3,53377.0,328297.0,3411
346,28.1,69541.0,184313.0,1740
347,34.7,61652.0,433742.0,3880
348,38.2,67187.0,471826.0,5030
349,31.1,55324.0,132420.0,770
350,14.7,38525.0,44417.0,863
351,7.4,42307.0,21569.0,192
352,8.3,45906.0,15237.0,139
353,23.6,50285.0,553284.0,4768
354,18.4,58203.0,33739.0,235
355,28.4,60973.0,74071.0,727
356,11.7,39225.0,25473.0,233
358,9.9,36779.0,8165.0,223
359,10.1,38775.0,11164.0,327
360,12.3,38288.0,3038.0,45
361,20.9,42727.0,44890.0,721
362,12.8,55384.0,19234.0,177
363,17.6,61413.0,83240.0,725
365,12.0,35020.0,16700.0,259
366,11.8,39412.0,19397.0,194
367,25.7,41390.0,153159.0,2077
368,17.2,46019.0,12873.0,102
369,8.2,41874.0,19109.0,166
371,32.6,79658.0,39627.0,328
374,11.4,48831.0,24936.0,358
375,9.4,33393.0,6189.0,173
376,24.5,56555.0,54666.0,337
377,14.1,35841.0,10803.0,125
378,20.6,52502.0,119992.0,1260
380,10.5,40499.0,13392.0,171
381,33.2,54165.0,289430.0,3106
383,9.8,39513.0,24789.0,89
385,42.7,42112.0,128331.0,1140
386,7.9,30239.0,2834.0,65
388,11.1,37593.0,6618.0,125
392,35.1,82184.0,156714.0,1123
393,15.5,38827.0,17270.0,278
397,13.9,48779.0,16116.0,84
398,30.4,68835.0,26108.0,194
400,43.4,63477.0,759297.0,9308
403,21.4,38806.0,87956.0,2243
406,8.8,38667.0,4006.0,205
408,10.8,39681.0,19194.0,224
410,15.5,37319.0,10654.0,80
412,46.5,95021.0,114421.0,612
413,20.4,44906.0,98498.0,829
415,13.5,42904.0,23349.0,281
416,51.4,70808.0,1063937.0,12584
419,29.6,53906.0,85292.0,1734
420,14.4,49101.0,57963.0,653
421,14.1,41002.0,24633.0,276
422,25.8,54016.0,18324.0,156
423,36.1,72008.0,936250.0,12897
428,29.9,74686.0,35236.0,485
429,15.1,47171.0,26205.0,136
430,9.8,46218.0,11923.0,93
431,28.3,72970.0,234561.0,2027
432,27.3,60728.0,157863.0,1161
434,21.0,68984.0,72977.0,590
435,10.8,51241.0,14219.0,101
436,10.0,37211.0,15115.0,196
438,9.3,31419.0,8676.0,182
439,10.4,34849.0,9643.0,146
440,20.1,55737.0,28735.0,156
442,16.4,41564.0,10423.0,175
445,18.3,47685.0,61435.0,329
446,13.5,46967.0,7921.0,83
448,25.6,41820.0,117406.0,2093
449,26.2,55583.0,33610.0,193
454,13.1,39114.0,8359.0,108
455,11.5,38886.0,21167.0,277
457,11.1,36788.0,21863.0,515
458,26.3,59362.0,27578.0,283
460,20.8,57978.0,19276.0,100
461,9.4,46810.0,40096.0,347
462,26.2,46628.0,195769.0,3196
463,19.6,56598.0,111744.0,1098
464,51.1,99497.0,40280.0,268
465,16.9,51105.0,15259.0,131
466,24.1,73309.0,168667.0,966
467,19.4,46525.0,27546.0,184
469,11.9,44389.0,19465.0,298
471,12.2,43679.0,42613.0,399
472,12.4,40582.0,11137.0,63
474,9.1,33908.0,2299.0,24
